day,date,milp_profit,ppo_profit,milp_cumulative,ppo_cumulative,milp_soh,ppo_soh,avg_price,min_price,max_price,price_volatility,milp_utilization,ppo_utilization,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_fcr_utilization,milp_afrr_utilization,milp_mfrr_utilization,ppo_fcr_utilization,ppo_afrr_utilization,ppo_mfrr_utilization
313,2024-11-08,1212.2076508540483,1960.798972291156,457099.2266632627,613531.8173300211,0.9687000000000034,0.9627989473684252,38.625690868226556,13.379850230979505,65.52010402828884,16.843375023388703,0.0,0.035087719298245605,0.0,-69.8022974293536,1212.2076508540483,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
314,2024-11-09,1215.2747948916165,1962.1103063892424,458314.5014581543,615493.9276364103,0.9686000000000035,0.9626147368421094,38.61006788264715,13.363101559247463,66.03794706537163,15.9040556705877,0.0,0.035087719298245605,0.0,-68.49096333126704,1215.2747948916165,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
315,2024-11-10,1218.4085298574262,1954.376573674792,459532.9099880117,617448.3042100852,0.9685000000000035,0.9624305263157936,40.07014232267936,10.0,67.59324642747488,16.934266203621107,0.0,0.035087719298245605,0.0,-76.2246960457174,1218.4085298574262,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
316,2024-11-11,1221.6079271581743,1949.6143769370105,460754.5179151699,619397.9185870222,0.9684000000000035,0.9622463157894778,37.89066366626528,10.051923356849109,65.91100436045299,17.500664708273025,0.0,0.035087719298245605,0.0,-80.9868927834989,1221.6079271581743,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
317,2024-11-12,1224.8720387433916,1962.3012319782895,461979.3899539133,621360.2198190006,0.9683000000000035,0.962062105263162,35.32718505719719,10.0,55.80528276118847,15.139479115925159,0.0,0.035087719298245605,0.0,-68.3000377422199,1224.8720387433916,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
318,2024-11-13,1228.1998973863722,1960.0375499796628,463207.58985129965,623320.2573689802,0.9682000000000035,0.9618778947368463,34.77000621332602,10.0,53.722130439513485,13.785490967960406,0.0,0.035087719298245605,0.0,-70.5637197408467,1228.1998973863722,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
319,2024-11-14,1231.590516970777,1950.686897950229,464439.18036827043,625270.9442669305,0.9681000000000035,0.9616936842105305,40.61321462690902,13.022048310844248,63.7816901917717,16.727345636611684,0.0,0.035087719298245605,0.0,-79.91437177028051,1231.590516970777,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
320,2024-11-15,1235.0428927828489,1962.210391454012,465674.22326105327,627233.1546583845,0.9680000000000035,0.9615094736842147,41.288007166307075,14.91646874138354,69.006971258729,16.189819486003287,0.0,0.035087719298245605,0.0,-68.39087826649744,1235.0428927828489,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
321,2024-11-16,1238.5560018091255,1963.833397814656,466912.7792628624,629196.9880561992,0.9679000000000035,0.9613252631578989,39.81894775796223,12.748244417241972,66.06772862377983,18.17917674956111,0.0,0.035087719298245605,0.0,-66.76787190585324,1238.5560018091255,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
322,2024-11-17,1242.128803039583,1961.2850373476426,468154.908065902,631158.2730935469,0.9678000000000035,0.9611410526315831,40.0976070887817,16.179180409299036,66.80389335058453,16.780460208190878,0.0,0.035087719298245605,0.0,-69.31623237286675,1242.128803039583,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
